,Income,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Deals,Web,Purchases,Store,Visits,Cm3,Cm4,Cm5,Cm1,Cm2,Complain,Response,Age_,Age_range,Total_spent,Education_,Marital_Status_,Children_,Dt_Customer_,Category
0,58138.0,58.0,635.0,88.0,546.0,172.0,88.0,88.0,3.0,8.0,10.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,Old,1587.0,graduate,single,0.0,10.0,1
1,46344.0,38.0,11.0,1.0,6.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,Old,59.0,graduate,single,2.0,8.0,1
2,71613.0,26.0,426.0,49.0,127.0,111.0,21.0,42.0,1.0,8.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Old,760.0,graduate,married,0.0,9.0,2
3,26646.0,26.0,11.0,4.0,20.0,10.0,3.0,5.0,2.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,Adult,74.0,graduate,married,1.0,8.0,2
4,58293.0,94.0,173.0,43.0,118.0,46.0,27.0,15.0,5.0,5.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,Old,501.0,postgraduate,married,1.0,8.0,0
5,62513.0,16.0,520.0,42.0,98.0,0.0,42.0,14.0,2.0,6.0,4.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,Old,718.0,postgraduate,married,1.0,9.0,2
6,55635.0,34.0,235.0,65.0,164.0,50.0,49.0,27.0,4.0,7.0,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,Old,597.0,graduate,single,1.0,10.0,1
7,33454.0,32.0,76.0,10.0,56.0,3.0,1.0,23.0,2.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,Adult,178.0,postgraduate,married,1.0,9.0,2
8,30351.0,19.0,14.0,0.0,24.0,3.0,3.0,2.0,1.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,Old,63.0,postgraduate,married,1.0,9.0,2
9,5648.0,68.0,28.0,0.0,6.0,1.0,1.0,13.0,1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,Old,104.0,postgraduate,married,2.0,8.0,0
